domain,query,expected_answer_text,expected_bib_ids,expected_context_snippet,source_title,source_url,source_type,source_row_id
e_resources,What e-resources are available currently?,The HKPL provides e-books in Chinese and English languages as well as e-databases on different subjects for readers. User guides are available on respective webpages.,,The HKPL provides e-books in Chinese and English languages as well as e-databases on different subjects for readers.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,10
e_resources,What e-resources for children are available?,The following e-resources for children are accessible at computers in libraries or via the Internet: Apabi Chinese eBooks (Children's Collection) FunPark Newtonkids Digital Museum Kiss Holiday Gale In Context: Elementary Miss Humblebee's Academy TumbleBookLibrary,,The following e-resources for children are accessible at computers in libraries or via the Internet: Apabi Chinese eBooks (Children's Collection) FunPark Newton...,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,11
e_resources,What e-resources on STEAM are available?,The following e-resources on STEAM are accessible at computers in libraries or via the Internet: AccessScience Art & Architecture Source Gale OneFile: Culinary Arts Gale in Context: Science Music Periodicals Database Newtonkids Digital Museum Science Online,,The following e-resources on STEAM are accessible at computers in libraries or via the Internet: AccessScience Art & Architecture Source Gale OneFile: Culinary ...,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,12
e_resources,Is the use of e-resources restricted to particular locations?,"Members of the public can gain access to e-resources by means of computers in libraries. For registered readers, all e-books and some e-databases are also accessible via the Internet.",,Members of the public can gain access to e-resources by means of computers in libraries.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,13
e_resources,Where can I read e-books?,Readers can gain free access to e-books by the following means: - Members of the public can gain access by using the computers in public libraries. - Registered readers can gain access via the e-books webpage of the HKPL .,,Readers can gain free access to e-books by the following means: - Members of the public can gain access by using the computers in public libraries.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,14
e_resources,How many e-book items can be checked out at a time? How long can these items be kept?,"The loan quota and periods vary among e-book collections. For details, please refer to the Overview of e-Book Collections .",,The loan quota and periods vary among e-book collections.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,15
e_resources,Where can I read e-magazines?,"Readers can gain access to e-magazines in the e-databases “ Kono Libraries ”, “ Dragonsource Qikan Reading Service ”, “ OverDrive Magazines ” and “ Flipster ” of the HKPL via the Internet.",,"Readers can gain access to e-magazines in the e-databases “ Kono Libraries ”, “ Dragonsource Qikan Reading Service ”, “ OverDrive Magazines ” and “ Flipster ” o",HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,16
reference_services,What is My EBSCO host account? How to create such an account?,"My EBSCOhost account is used for downloading e-books from “ eBooks on EBSCO host ” or e-magazines from “ Flipster ”. To create such an account, please follow the steps in the user guide to “eBooks on EBSCO host ”.",,My EBSCOhost account is used for downloading e-books from “ eBooks on EBSCO host ” or e-magazines from “ Flipster ”.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,17
reference_services,What is an Ebook Central account? How to create such an account?,"An Ebook Central account is used for downloading e-books from “ ProQuest Ebook Central ”. To create such an account, please follow the steps in the user guide to “ProQuest Ebook Central” .",,An Ebook Central account is used for downloading e-books from “ ProQuest Ebook Central ”.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,18
e_resources,What is Adobe Digital Editions and why do I need it?,"Adobe Digital Editions is a free e-book reading and management software. With Adobe Digital Editions, you can download e-books from “ eBooks on EBSCO host ” or “ ProQuest Ebook Central ” to your personal computer for reading. For details, please refer to the user guides below: “eBooks on EBSCO host ” User Guide “ProQuest Ebook Central” User Guide",,Adobe Digital Editions is a free e-book reading and management software.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,19
e_resources,What is Adobe Digital Editions App and how to use it?,"Adobe Digital Editions App is a free e-book reader application. With Adobe Digital Editions App, registered readers of the HKPL can download e-books from “ eBooks on EBSCO host ” and “ ProQuest Ebook Central ” to their mobile devices. For details, please refer to the user guides below: “eBooks on EBSCO host ” User Guide “ProQuest Ebook Central” User Guide",,Adobe Digital Editions App is a free e-book reader application.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,20
e_resources,Which e-resources have mobile apps?,"Registered readers of the HKPL can install mobile apps on their mobile devices (tablets or smart phones) to access the following e-resources. e-Resource Mobile App Smart Phone Tablet 1 Britannica Collective Britannica Collective for HKPL √ √ 2 eBooks on EBSCOhost Adobe Digital Editions √ √ 3 Flipster Flipster √ √ 4 FunPark FunParkç«¥æ¸å¤¢å·¥å» √ √ 5 HyRead ebook HyRead √ √ 6 Jin Yong Martial Arts Novels Audio Collection Nowbook Digital Library √ √ 7 Kono Libraries Kono Libraries √ √ 8 Naxos Music Library Naxos Music Library √ √ 9 Naxos Music Library Jazz Naxos Music Library Jazz √ √ 10 OverDrive Chinese eBooks Libby √ √ 11 OverDrive eBooks Libby √ √ 12 OverDrive Magazines Libby √ √ 13 ProQuest Ebook Central Adobe Digital Editions √ √ 14 SUEP ""Hong Kong Renowned Writers"" e-Book Nowbook Digital Library √ √ 15 SUEP e-Book Nowbook Digital Library √ √",,Registered readers of the HKPL can install mobile apps on their mobile devices (tablets or smart phones) to access the following e-resources.,HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,21
e_resources,How can people with visual impairment gain access to e-books?,"People with visual impairment can listen to audio e-books in “ Naxos Spoken Word Library ”, or gain access to all English e-books through the computers that are installed with the Cantonese and English voice synthesiser software in static libraries.",,"People with visual impairment can listen to audio e-books in “ Naxos Spoken Word Library ”, or gain access to all English e-books through the computers that are",HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,22
e_resources,How can I seek help when I encounter problems in using e-resources?,"If problems are encountered in using e-resources, please refer to the user guides on the webpage. You may also contact the duty librarian of the Reference and Information Enquiry Centre at 2921 0222 during the opening hours of the Hong Kong Central Library .",,"If problems are encountered in using e-resources, please refer to the user guides on the webpage.",HKPL Ask a Librarian FAQ,https://www.hkpl.gov.hk/en/ask-a-librarian/faq.html,official_website,23
